,Name,Classification,Type,Country,Adress,Latitude,Longitude,location
126,Dixies Pub,Leisure Places,Pub,SG,Singapore,1.2834452568492527,103.84543210529793,"{'type': 'Point', 'coordinates': (1.2834452568492527, 103.84543210529793)}"
127,TalayThai,Leisure Places,Pub,SG,Singapore,1.2901014,103.8466329,"{'type': 'Point', 'coordinates': (1.2901014, 103.8466329)}"
128,O+ Victoria,Leisure Places,Pub,SG,32 Mosque St,1.2834948266632253,103.84528546711016,"{'type': 'Point', 'coordinates': (1.2834948266632253, 103.84528546711016)}"
129,Forest2,Leisure Places,Pub,SG,"#01-05, Shenton House (3 Shenton Way)",1.2784099735402221,103.84965367469607,"{'type': 'Point', 'coordinates': (1.2784099735402221, 103.84965367469607)}"
130,Harry's @ Market St,Leisure Places,Pub,SG,Market St,1.2817700712809472,103.84974178596583,"{'type': 'Point', 'coordinates': (1.2817700712809472, 103.84974178596583)}"
131,The Blarney Irish Pub,Leisure Places,Pub,SG,The Sail @ Marina Bay (6 Marina Blvd),1.2802162296852295,103.85306521714362,"{'type': 'Point', 'coordinates': (1.2802162296852295, 103.85306521714362)}"
132,Roku,Leisure Places,Pub,SG,146 Market Street,1.2816230617794375,103.85016641063467,"{'type': 'Point', 'coordinates': (1.2816230617794375, 103.85016641063467)}"
133,Molly Roffey's Irish Pub,Leisure Places,Pub,SG,#01-01/03 Int'l Factors Building (141 Market St.),1.2819100267581625,103.84988970963227,"{'type': 'Point', 'coordinates': (1.2819100267581625, 103.84988970963227)}"
134,The Good Beer Company,Leisure Places,Beer Bar,SG,#02-58 Chinatown Complex Food Centre (335 Smith St),1.282490736602177,103.84384751339886,"{'type': 'Point', 'coordinates': (1.282490736602177, 103.84384751339886)}"
135,Boat Quay,Leisure Places,Canal,SG,Boat Quay,1.2866377657473904,103.8495492898863,"{'type': 'Point', 'coordinates': (1.2866377657473904, 103.8495492898863)}"
